=== IMAGE SUMMARY ===
변환: 325
그대로 복사: 0
변환 실패 후 복사: 0
원본 합계: 1369.8 MB
웹 합계: 17.2 MB
절감률: 98.7%

CONVERT | assets/muchae-still-17.png -> assets/muchae-still-17.webp | 6753KB -> 43KB | 99.4% 절감 | 1600px / q82
CONVERT | assets/muchae-still-03.png -> assets/muchae-still-03.webp | 5427KB -> 33KB | 99.4% 절감 | 1600px / q82
CONVERT | assets/childlike-hero.png -> assets/childlike-hero.webp | 1256KB -> 80KB | 93.6% 절감 | 1920px / q84
CONVERT | assets/we-gobi-still-09.png -> assets/we-gobi-still-09.webp | 5832KB -> 58KB | 99.0% 절감 | 1600px / q82
CONVERT | assets/about-profile.jpg -> assets/about-profile.webp | 234KB -> 72KB | 69.4% 절감 | 1400px / q84
CONVERT | assets/daisy-still-02.png -> assets/daisy-still-02.webp | 3294KB -> 28KB | 99.1% 절감 | 1600px / q82
CONVERT | assets/romance-literacy-still-06.png -> assets/romance-literacy-still-06.webp | 6625KB -> 51KB | 99.2% 절감 | 1600px / q82
CONVERT | assets/sara-still-01.png -> assets/sara-still-01.webp | 3864KB -> 27KB | 99.3% 절감 | 1600px / q82
CONVERT | assets/sara-still-15.png -> assets/sara-still-15.webp | 7776KB -> 105KB | 98.7% 절감 | 1600px / q82
CONVERT | assets/alien-still-16.png -> assets/alien-still-16.webp | 6307KB -> 43KB | 99.3% 절감 | 1600px / q82
