=== HQ RECOMPRESS SUMMARY ===
변환 성공: 283
원본 못 찾음: 0
동명이인/모호함: 0
변환 오류: 0
대상 설정: HERO + STILL / max 2800px / WebP q95
입력 용량 합계: 1230.4 MB
출력 용량 합계: 68.7 MB

=== DETAILS ===
OK | 0-track-still-04.png -> 0-track-still-04.webp | 3600x2016 -> 2800x1568 | 10150KB -> 855KB | match=exact-relative
OK | 0-track-still-05.png -> 0-track-still-05.webp | 3600x2016 -> 2800x1568 | 6690KB -> 338KB | match=exact-relative
OK | 2024-인천광역시-이장-통장-소양교육-still-03.webp -> 2024-inceongwangyeogsi-ijang-tongjang-soyanggyoyug-still-03.webp | 900x600 -> 900x600 | 183KB -> 184KB | match=exact-relative
OK | muchae-still-22.png -> muchae-still-22.webp | 3600x2018 -> 2800x1570 | 3710KB -> 184KB | match=exact-relative
OK | m-art-still-11.png -> m-art-still-11.webp | 3600x1532 -> 2800x1192 | 4889KB -> 232KB | match=exact-relative
OK | m-art-still-05.png -> m-art-still-05.webp | 3600x1532 -> 2800x1192 | 5909KB -> 257KB | match=exact-relative
OK | myname-hero.png -> myname-hero.webp | 3598x2024 -> 2800x1575 | 1540KB -> 118KB | match=exact-relative
OK | romance-literacy-hero.png -> romance-literacy-hero.webp | 3600x2014 -> 2800x1566 | 9777KB -> 622KB | match=exact-relative
OK | nonol-live-still-01.jpg -> nonol-live-still-01.webp | 1280x720 -> 1280x720 | 90KB -> 105KB | match=exact-relative
OK | the-rascals-still-04.png -> the-rascals-still-04.webp | 3600x2018 -> 2800x1570 | 6996KB -> 300KB | match=exact-relative
OK | m-art-still-08.png -> m-art-still-08.webp | 3600x1532 -> 2800x1192 | 3538KB -> 149KB | match=exact-relative
OK | mackerel-still-01.png -> mackerel-still-01.webp | 3600x1530 -> 2800x1190 | 1368KB -> 94KB | match=exact-relative
OK | muchae-still-07.png -> muchae-still-07.webp | 3600x2018 -> 2800x1570 | 3796KB -> 124KB | match=exact-relative
OK | muchae-still-13.png -> muchae-still-13.webp | 3600x2018 -> 2800x1570 | 6782KB -> 299KB | match=exact-relative
OK | project-1785599961794-still-05.png -> project-1785599961794-still-05.webp | 3598x2024 -> 2800x1575 | 1102KB -> 93KB | match=exact-relative
OK | daisy-hero.png -> daisy-hero.webp | 3840x1634 -> 2800x1191 | 3833KB -> 216KB | match=exact-relative
OK | muchae-still-12.png -> muchae-still-12.webp | 3600x2018 -> 2800x1570 | 6971KB -> 400KB | match=exact-relative
OK | project-1785599961794-still-04.png -> project-1785599961794-still-04.webp | 3598x1622 -> 2800x1262 | 2740KB -> 188KB | match=exact-relative
OK | muchae-still-06.png -> muchae-still-06.webp | 3600x2018 -> 2800x1570 | 7139KB -> 273KB | match=exact-relative
OK | m-art-still-09.png -> m-art-still-09.webp | 3600x1532 -> 2800x1192 | 4013KB -> 221KB | match=exact-relative
OK | the-rascals-still-05.png -> the-rascals-still-05.webp | 3600x2018 -> 2800x1570 | 4550KB -> 171KB | match=exact-relative
OK | 13f-hero.png -> 13f-hero.webp | 3600x1784 -> 2800x1388 | 3763KB -> 185KB | match=exact-relative
OK | 광주시-민선8기-출범-3주년-기념행사-hero.jpg -> gwangjusi-minseon8gi-culbeom-3junyeon-ginyeomhaengsa-hero.webp | 1280x720 -> 1280x720 | 84KB -> 78KB | match=exact-relative
OK | we-gobi-hero.png -> we-gobi-hero.webp | 2000x1125 -> 2000x1125 | 2449KB -> 326KB | match=exact-relative
OK | nonol-live-still-02.jpg -> nonol-live-still-02.webp | 1280x720 -> 1280x720 | 100KB -> 134KB | match=exact-relative
OK | mackerel-still-02.png -> mackerel-still-02.webp | 3600x1532 -> 2800x1192 | 2601KB -> 189KB | match=exact-relative
OK | muchae-still-10.png -> muchae-still-10.webp | 3600x2018 -> 2800x1570 | 6403KB -> 224KB | match=exact-relative
OK | muchae-still-04.png -> muchae-still-04.webp | 3600x2018 -> 2800x1570 | 7525KB -> 331KB | match=exact-relative
OK | muchae-still-05.png -> muchae-still-05.webp | 3600x2018 -> 2800x1570 | 5985KB -> 233KB | match=exact-relative
OK | muchae-still-11.png -> muchae-still-11.webp | 3600x2018 -> 2800x1570 | 7246KB -> 268KB | match=exact-relative
OK | mackerel-still-03.png -> mackerel-still-03.webp | 3600x1530 -> 2800x1190 | 1996KB -> 140KB | match=exact-relative
OK | the-rascals-still-06.png -> the-rascals-still-06.webp | 3600x2018 -> 2800x1570 | 7528KB -> 346KB | match=exact-relative
OK | nonol-live-still-03.jpg -> nonol-live-still-03.webp | 1280x720 -> 1280x720 | 105KB -> 127KB | match=exact-relative
OK | dance-hero.png -> dance-hero.webp | 1257x707 -> 1257x707 | 1270KB -> 268KB | match=exact-relative
OK | alien-hero.png -> alien-hero.webp | 3600x1532 -> 2800x1192 | 6149KB -> 285KB | match=exact-relative
OK | the-rascals-still-02.png -> the-rascals-still-02.webp | 3600x2018 -> 2800x1570 | 2258KB -> 122KB | match=exact-relative
OK | muchae-still-15.png -> muchae-still-15.webp | 3600x2018 -> 2800x1570 | 5253KB -> 195KB | match=exact-relative
